Küsimus	Vastus A)	Vastus B)	Vastus C)	Õige vastus
Kumb on korrektne?	varroalesta ravitakse	varroalesta tõrjutakse		b
Milline neist on korrektne termin?	mesilasema	emamesilane	kuninganna	a
Kuidas nimetatakse eesti keeles isasmesilast?	Kuidas nimetatakse eesti keeles isasmesilast?	droon	lesk	c
Kumb on korrektne?	mesitaru sülemleb	mesilaspere sülemleb		b
Kumb lause on korrektne?	Eestis kasutatakse enamasti Farrar, Langstroth ja Eesti kärjemõõtu	Eestis levib enamasti Langstroth, Farrar ja Eesti raamimõõt		b
Mesilased korjavalt õitelt..	mett	nektarit	taruvaiku	b
Mesilased sülemlevad, sest..	see on nende loomulik viis paljunemiseks ja mesilaspere suuruse reguleerimiseks antud pesaruumis	neil on tekkinud nälg		a
Mis on suvise töömesilase keskmine eluiga?	25-35 päeva	35-45 päeva	45-50 päeva	b
Kelle ettenähtud eluiga on mesilasperes kõige pikem?	lese eluiga	mesilasema eluiga	talvituva töömesilase eluiga	b
Kuidas nimetati mesinduse ajastut või tegevust kus inimesed otsisid mesilasperesid kaljukoobastest või kõrgetest puuõõnsustest ning võtsid ära kõik mee ja kärjed ilma, et neid oleks huvitanud mesilaste edaspidine käekäik?	metsamesinduse ajastu	raamtarude ajastu	meejaht	c
Mida kujutas endast "pakktarude ajastu?"	inimesed hakkasid mesilasi pakkides transportima	Inimesed hakkasid esmakordselt looma mesilastele õõnsate puupakkude näol jätkusuutlikke elamustingimusi enda kodu lähedal		b
Miks oli 19. sajandil avastatud "mesilaskäik" oluline läbimurre mesinduses?	saime teada, kui suureks mesilaspere on suuteline arenema	saime täiustada taru ja võtta kasutusele liikuvad raamid	saime teada, et meemesilased jagunevad omakorda erinevateks rassideks	b
Töömesilased on..	emasisendid kes arenevad viljastamata munadest	emasisendid kes arenevad viljastatud munadest	isasmesilased kes arenevad viljastamata munadest	b
Mesilasema alustab munemist..	detsembris	veebruari lõpp-märtsi algus	siis kui mesinik teeb esimese kevadise laienduse	b
Mida nimetatakse emaaineks?	mesilasema geneetilisi omadusi	spetsiaalne toitepiim mille abil areneb vaglast mesilasema c)mesilasema ülalõuanäärme nõre mille järgi tunnetavad töömesilased mesilasema olemasolu	mesilasema ülalõuanäärme nõre mille järgi tunnetavad töömesilased mesilasema olemasolu	c
Esimesel sülemlemisel lendab ära..	äsja kupust koorunud mesilasema ja vanad mesilased	vana mesilasema ja noored mesilased		b
Mesilasema eluiga on kuni..	3 aastat	5 aastat	sõltuvalt kliimast kuni 7 aastat	b
Millise värviga märgitakse 2021 aastal koorunud mesilasema?	sinine	kollane	valge	c
Miks vahetatakse suurtes mesilates mesilasema välja varem kui tema võimaliku eluaja lõpul?	mesinikul on suvel igav	noorem mesilasema muneb intensiivsemalt ja sellise vahetusega saab juhtida mesilaspere arengut	see on tava millest iga lugupeetud mesinik kinni peab	b
Mis on salajane emadevahetus?	vana traditsioon kus naaber-mesinik vahetab salaja sinu mesilasperel ema ära	mesilaspere kasvatab ise omale uue mesilasema	mesinik vahetab salaja mesilasema ära ajal kui kõik töömesilased on korjel	b
Ühes kilogrammis on umbes..	1000 mesilast	10'000 mesilast	100'000 mesilast	b
Suve keskpaigas on ühes tugevas mesilasperes umbes..	30'000 mesilast	80'000 mesilast	200'000 mesilast	b
Talveperioodil on mesilasperes umbes..	30'000 mesilast	80'000 mesilast		a
Mille alusel jaotuvad tarumesilaste tööülesanded?	mesilasema korralduste alusel	korje ja kliima mõjutusel	mesilaste vanuse alusel mis määrab erinevate näärmete aktiivsuse	c
Noore, äsja koorunud töömesilase esimene ülesanne tarus on..	haudme alt vabanenud kärjekannude puhastamine	suira söömine, et koguda jõudu	vee toomine	a
Kas 15 päeva vanune tarumesilane on suuteline nõelama?	ei	jah		b
Noor amm mesilane toidab esimesena..	vanemaid vaklu suiraga	nooremaid (kuni 3 päeva vanuseid) vaklu toitepiimaga (ülalõua ja neelunäärme nõre)		a
Mis on "mesilaste leib?"	suir	taruvaik c)nektar	nektar	a
Mis vanuses siirdub töömesilane korjele?	2,5-3 nädala vanuselt	30 päeva möödudes	35 päeva möödudes	a
Mis tegevus kulutab mesilast kõige rohkem?	nektari töötlemine	lendamine c)sülemlemiseks valmistumine	sülemlemiseks valmistumine	b
Kui mesinik tahab, et Eesti suve peakorjeks oleks tal võimalikult suur hulk korjemesilasi, siis millisel ajahetkel on mesilasema intensiivne munemine eriti oluline?	märtsi algus	mai kuus	jaanipäeval	b
Millal alustatakse talvituma minevate mesilaste munemist?	alates juuli teisest poolest	alates septembri algusest	talvituma läheb ainult viimane koorunud haue	a
Mis on küürakhaue?	mesilasema puudumise tõttu munemist alustanud töömesilane kes muneb viljastatud mune millest arenevad ainult lesed	mesilasema puudumise tõttu munemist alustanud töömesilane kes muneb ainult viljastamata mune millest arenevad suguvõimetud lesed	mesilasema kes muneb "auklikult"	b
Kui pikk on talvituva mesilase eluiga?	35-40 päeva	3 kuud	kuni 8 kuud	c
